id,path,label
1_no,dataset/dataset/train/no/1.npy,no
10_no,dataset/dataset/train/no/10.npy,no
100_no,dataset/dataset/train/no/100.npy,no
1000_no,dataset/dataset/train/no/1000.npy,no
10000_no,dataset/dataset/train/no/10000.npy,no
1001_no,dataset/dataset/train/no/1001.npy,no
1002_no,dataset/dataset/train/no/1002.npy,no
1003_no,dataset/dataset/train/no/1003.npy,no
1004_no,dataset/dataset/train/no/1004.npy,no
1005_no,dataset/dataset/train/no/1005.npy,no
1006_no,dataset/dataset/train/no/1006.npy,no
1007_no,dataset/dataset/train/no/1007.npy,no
1008_no,dataset/dataset/train/no/1008.npy,no
1009_no,dataset/dataset/train/no/1009.npy,no
101_no,dataset/dataset/train/no/101.npy,no
1010_no,dataset/dataset/train/no/1010.npy,no
1011_no,dataset/dataset/train/no/1011.npy,no
1012_no,dataset/dataset/train/no/1012.npy,no
1013_no,dataset/dataset/train/no/1013.npy,no
1014_no,dataset/dataset/train/no/1014.npy,no
1015_no,dataset/dataset/train/no/1015.npy,no
1016_no,dataset/dataset/train/no/1016.npy,no
1017_no,dataset/dataset/train/no/1017.npy,no
1018_no,dataset/dataset/train/no/1018.npy,no
1019_no,dataset/dataset/train/no/1019.npy,no
102_no,dataset/dataset/train/no/102.npy,no
1020_no,dataset/dataset/train/no/1020.npy,no
1021_no,dataset/dataset/train/no/1021.npy,no
1022_no,dataset/dataset/train/no/1022.npy,no
1023_no,dataset/dataset/train/no/1023.npy,no
1024_no,dataset/dataset/train/no/1024.npy,no
1025_no,dataset/dataset/train/no/1025.npy,no
1026_no,dataset/dataset/train/no/1026.npy,no
1027_no,dataset/dataset/train/no/1027.npy,no
1028_no,dataset/dataset/train/no/1028.npy,no
1029_no,dataset/dataset/train/no/1029.npy,no
103_no,dataset/dataset/train/no/103.npy,no
1030_no,dataset/dataset/train/no/1030.npy,no
1031_no,dataset/dataset/train/no/1031.npy,no
1032_no,dataset/dataset/train/no/1032.npy,no
1033_no,dataset/dataset/train/no/1033.npy,no
1034_no,dataset/dataset/train/no/1034.npy,no
1035_no,dataset/dataset/train/no/1035.npy,no
1036_no,dataset/dataset/train/no/1036.npy,no
1037_no,dataset/dataset/train/no/1037.npy,no
1038_no,dataset/dataset/train/no/1038.npy,no
1039_no,dataset/dataset/train/no/1039.npy,no
104_no,dataset/dataset/train/no/104.npy,no
1040_no,dataset/dataset/train/no/1040.npy,no
1041_no,dataset/dataset/train/no/1041.npy,no
1042_no,dataset/dataset/train/no/1042.npy,no
1043_no,dataset/dataset/train/no/1043.npy,no
1044_no,dataset/dataset/train/no/1044.npy,no
1045_no,dataset/dataset/train/no/1045.npy,no
1046_no,dataset/dataset/train/no/1046.npy,no
1047_no,dataset/dataset/train/no/1047.npy,no
1048_no,dataset/dataset/train/no/1048.npy,no
1049_no,dataset/dataset/train/no/1049.npy,no
105_no,dataset/dataset/train/no/105.npy,no
1050_no,dataset/dataset/train/no/1050.npy,no
1051_no,dataset/dataset/train/no/1051.npy,no
1052_no,dataset/dataset/train/no/1052.npy,no
1053_no,dataset/dataset/train/no/1053.npy,no
1054_no,dataset/dataset/train/no/1054.npy,no
1055_no,dataset/dataset/train/no/1055.npy,no
